Source,Target,Import,Export,Continent
United States,United Kingdom,56.949,61.431,North America
United States,India,77.019,40.13,North America
Vietnam,China,109.851,55.923,Asia
Vietnam,United States,15.179,96.328,Asia
Vietnam,"Korea, Rep.",56.112,21.934,Asia
Vietnam,Japan,22.602,20.118,Asia
Vietnam,Thailand,12.553,6.066,Asia
Vietnam,"Hong Kong, China",1.632,11.985,Asia
Vietnam,India,6.948,6.258,Asia
Vietnam,Malaysia,8.133,4.383,Asia
Vietnam,Australia,7.948,4.455,Asia
Zambia,Switzerland,0.016,4.249,Africa
Zambia,China,0.811,1.911,Africa
Zambia,South Africa,2.015,0.262,Africa
Zambia,Singapore,0.027,1.367,Africa
Zambia,India,0.403,0.095,Africa
Zambia,United Arab Emirates,0.364,0.031,Africa
Zambia,Zimbabwe,0.071,0.181,Africa
Zambia,United States,0.195,0.035,Africa
Zimbabwe,South Africa,3.24,2.923,Africa
Zimbabwe,United Arab Emirates,0.166,1.725,Africa
Zimbabwe,China,0.92,0.256,Africa
Zimbabwe,Singapore,1.044,0.003,Africa
Zimbabwe,Mozambique,0.255,0.509,Africa
Zimbabwe,Zambia,0.205,0.06,Africa
Zimbabwe,"Hong Kong, China",0.193,0.003,Africa
Zimbabwe,India,0.159,0.005,Africa
